grid,date,tag_left,tag_right,poop_id,poop_time,comments,id,obs,locx,locy,weight,trapping_id,squirrel_id
SU,2011-04-18,F8384,F8385,C0649,1203,NA,2161,LBD,14.5,11.0,230,102413,12435
SU,2011-04-20,F7132,F5482,C0654,936,released unhandled,2166,LBD,3.5,1.0,0,102542,11976
SU,2011-04-20,F7132,F5482,C0654,936,released unhandled,2166,LBD,3.5,1.0,0,102543,11976
SU,2011-04-20,F7132,F5482,C0654,936,released unhandled,2166,LBD,3.5,1.0,0,102544,11976
SU,2011-04-20,F7132,F5482,C0654,936,released unhandled,2166,LBD,3.5,1.0,0,102545,11976
SU,2011-06-20,H0313,H1000,C0661,1047,NA,2171,LBD,6.5,16.0,150,104679,12802
SU,2011-06-20,H0313,H1000,C0661,1047,NA,2171,LBD,6.5,16.0,150,104680,12802
SU,2011-04-24,F7051,F7052,C0667,1220,NA,2173,LBD,21.0,1.0,225,102724,11943
SU,2011-04-24,F7051,F7052,C0667,1220,NA,2173,LBD,21.0,1.0,225,102725,11943
SU,2011-05-04,F8589,F8590,C0668,1010,NA,2174,LBD,8.5,9.5,240,103123,12524
SU,2011-05-04,F8589,F8590,C0668,1010,NA,2174,LBD,8.5,9.5,240,103124,12524
SU,2011-05-31,F8378,F8379,C0671,930,Wean,2176,LBD,15.0,11.0,230,104023,12432
SU,2011-05-31,F8378,F8379,C0671,930,Wean,2176,LBD,15.0,11.0,230,104024,12432
SU,2011-06-02,F3497,F3498,C0675,907,Released,2178,LBD,-2.0,4.0,0,104149,10946
SU,2011-06-02,F3497,F3498,C0675,907,Released,2178,LBD,-2.0,4.0,0,104150,10946
SU,2011-06-02,H1199,H1200,C0677,932,Released,2180,LBD,-3.0,6.0,0,104167,13137
SU,2011-06-02,H1199,H1200,C0677,932,Released,2180,LBD,-3.0,6.0,0,104168,13137
SU,2011-06-20,F3497,F3498,C0679,1138,NA,2182,LBD,-3.5,3.0,230,104667,10946
SU,2011-06-20,F3497,F3498,C0679,1138,NA,2182,LBD,-3.5,3.0,230,104668,10946
SU,2011-04-27,F8488,F8489,C0681,932,NA,2184,LBD,21.5,5.0,225,102872,12478
SU,2011-04-27,F8488,F8489,C0681,932,NA,2184,LBD,21.5,5.0,225,102873,12478
SU,2011-04-26,F8378,F8379,C0683,1057,NA,2186,LBD,14.5,11.0,240,102831,12432
SU,2011-04-26,F8378,F8379,C0683,1057,NA,2186,LBD,14.5,11.0,240,102832,12432
SU,2011-04-22,F2144,F7179,C0699,1055,"Smaller growth near the nipple, second litter",2198,LBD,5.5,1.5,245,102688,10654
SU,2011-04-22,F2144,F7179,C0699,1055,"Smaller growth near the nipple, second litter",2198,LBD,5.5,1.5,245,102689,10654
SU,2011-06-02,H1197,H1198,C0731,921,NA,2220,LBD,-2.0,4.0,135,104165,13136
SU,2011-06-02,H1197,H1198,C0731,921,NA,2220,LBD,-2.0,4.0,135,104166,13136
SU,2011-04-24,F7266,F7267,C0732,1134,NA,2221,LBD,21.0,5.5,275,102730,12031
SU,2011-04-24,F7266,F7267,C0732,1134,NA,2221,LBD,21.0,5.5,275,102731,12031
SU,2011-05-29,F2144,F7179,C0734,1035,NA,2223,LBD,5.5,1.5,210,103911,10654
SU,2011-05-29,F2144,F7179,C0734,1035,NA,2223,LBD,5.5,1.5,210,103912,10654
SU,2011-04-24,F8378,F8379,C0746,1021,NA,2233,LBD,15.0,11.0,237,102734,12432
SU,2011-04-24,F8378,F8379,C0746,1021,NA,2233,LBD,15.0,11.0,237,102735,12432
SU,2011-04-26,F7255,F7256,C0747,1130,"Kind of big nipples no milk
",2234,LBD,14.0,7.5,215,102829,12026
SU,2011-04-26,F7255,F7256,C0747,1130,"Kind of big nipples no milk
",2234,LBD,14.0,7.5,215,102830,12026
SU,2011-05-05,D8428,D6795,C0752,1032,NA,2236,LBD,10.0,6.0,266,103159,10191
SU,2011-05-05,D8428,D6795,C0752,1032,NA,2236,LBD,10.0,6.0,266,103160,10191
SU,2011-06-20,F8589,F8590,C0759,1015,NA,2240,LBD,8.5,9.5,220,104677,12524
SU,2011-06-20,F8589,F8590,C0759,1015,NA,2240,LBD,8.5,9.5,220,104678,12524
SU,2011-04-29,F2144,F7179,C0789,1023,NA,2257,LBD,5.5,1.5,220,102954,10654
SU,2011-04-29,F2144,F7179,C0789,1023,NA,2257,LBD,5.5,1.5,220,102955,10654
SU,2011-06-02,F7177,F5610,C0800,1010,NA,2265,LBD,1.0,19.0,210,104153,11997
SU,2011-06-02,F7177,F5610,C0800,1010,NA,2265,LBD,1.0,19.0,210,104154,11997
SU,2011-04-27,F7053,F7054,C0801,1016,NA,2266,LBD,18.0,4.0,241,102864,11944
SU,2011-04-27,F7053,F7054,C0801,1016,NA,2266,LBD,18.0,4.0,241,102865,11944
SU,2011-05-31,F8384,F8385,C0804,937,NA,2268,LBD,14.5,11.0,225,104027,12435
SU,2011-05-31,F8384,F8385,C0804,937,NA,2268,LBD,14.5,11.0,225,104028,12435
SU,2011-06-07,F6503,F6559,C0811,1041,NA,2274,LBD,16.0,3.0,215,104267,11722
SU,2011-06-07,F6503,F6559,C0811,1041,NA,2274,LBD,16.0,3.0,215,104268,11722
SU,2011-06-02,H1090,H1091,C0817,957,NA,2278,LBD,-3.5,16.0,215,104161,13094
SU,2011-06-02,H1090,H1091,C0817,957,NA,2278,LBD,-3.5,16.0,215,104162,13094
SU,2011-06-02,H0181,H0182,C0818,905,Released,2279,LBD,-2.0,4.0,0,104157,12747
SU,2011-06-02,H0181,H0182,C0818,905,Released,2279,LBD,-2.0,4.0,0,104158,12747
SU,2011-05-09,F7178,F7181,C0823,1032,NA,2283,LBD,5.0,11.5,222,103287,11998
SU,2011-05-09,F7178,F7181,C0823,1032,NA,2283,LBD,5.0,11.5,222,103288,11998
SU,2011-05-04,F7178,F7181,C0830,943,Rattled at E11.,2287,LBD,6.5,12.0,241,103119,11998
SU,2011-05-04,F7178,F7181,C0830,943,Rattled at E11.,2287,LBD,6.5,12.0,241,103120,11998
SU,2011-06-02,H0179,H0180,C0832,934,Released,2289,LBD,-3.0,6.0,0,104155,12746
SU,2011-06-02,H0179,H0180,C0832,934,Released,2289,LBD,-3.0,6.0,0,104156,12746
SU,2011-05-28,H1088,H1089,C0833,1028,NA,2290,LBD,10.0,7.5,160,103878,13093
